Timestamp,Permanent SKU,Item Number,Storage Location,Item Name,Brand,Category,Size,Color,Pattern,Condition,Realistic Sold Value,Inventory Status,Listing Platforms,Department,Photo Destination Status,White Photo Links,Raw / Reference Photo Links,Vendoo Draft Queue Status,Processing Notes,Cash-Flow Priority Rank,Estimated 90-Day Sell-Through,Expected Days to Sell,Recommended List Price,Fast-Sale Price,Offer Floor,Optimized SEO Title,Listing Status,Missing Information,Date Analyzed,Optimized Description
2026-06-23,A1-MD-0012,12,A1,Stitch Beachwear tropical short-sleeve button-down shirt,Stitch Beachwear,Men's Hawaiian Shirt,L,Cream/Navy/Turquoise,Tropical print,Good,$18.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,49,40%,25–55,$22.99,$15.99,$13.00,Stitch Beachwear Men's Tropical Short-Sleeve Button-Down Shirt L Cream/Navy/Turq,Needs Measurements,"final condition, material",2026-07-28,Brand: Stitch Beachwear Size: L Color: Cream/Navy/Turquoise Condition: Pre-Owned Features: Men's Hawaiian Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0013,13,A1,Callaway Golf Sport short-sleeve polo shirt,Callaway Golf,Men's Golf Polo Shirt,L,White,Solid pique knit,Fair (AS IS),$8.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$10.00,$8.00,$6.40,Callaway Golf Men's Sport Short-Sleeve Polo Shirt L White,,,,Brand: Callaway Golf Size: L Color: White Condition: Fair / Stained Features: Men's Golf Polo Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0014,14,A1,Under Armour HeatGear U Golf striped performance polo,Under Armour,Men's Golf Polo Shirt,XL,White/Light Gray,Color-blocked stripes,Good,$22.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,39,50%,20–45,$27.99,$18.99,$15.00,Under Armour Men's HeatGear U Golf Striped Performance Polo XL White/Light Gray,Needs Measurements,"final condition, material",2026-07-28,Brand: Under Armour Size: XL Color: White/Light Gray Condition: Pre-Owned Features: Men's Golf Polo Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0015,15,A1,Abercrombie & Fitch floral super-slim stretch short-sleeve button-up shirt,Abercrombie & Fitch,Men's Casual Button-Down Shirt,S,Dark Navy/Charcoal,Ditsy floral,Good,18,Listed (Poshmark Live),eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,47,40%,30–60,$25.00,$15.99,$13.00,Abercrombie & Fitch Men's Floral Stretch Short-Sleeve Shirt S Dark Navy/Charcoal,Needs Measurements,"final condition, material",2026-07-28,Brand: Abercrombie & Fitch Size: S Color: Dark Navy/Charcoal Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0016,16,A1,Wrangler Authentic Series 75 plaid short-sleeve button-down shirt,Wrangler,Men's Casual Button-Down Shirt,,Cream/Light Khaki,Plaid,Good,$12.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$15.00,$12.00,$9.60,Wrangler Men's Authentic Series 75 Plaid Short-Sleeve Shirt Cream/Light Khaki,,,,Brand: Wrangler Size: Not Confirmed Color: Cream/Light Khaki Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0017,17,A1,Mercedes by Carol black tonal-striped short-sleeve polo shirt,Mercedes by Carol,Men's Polo Shirt,L,Black,Solid with tonal stripes,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$15.00,$12.00,$9.60,Mercedes by Carol Men's Tonal-Striped Short-Sleeve Polo Shirt L Black,,,,Brand: Mercedes by Carol Size: L Color: Black Condition: Pre-Owned Features: Men's Polo Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0018,18,A1,Van Heusen Wrinkle Free plaid short-sleeve button-down shirt,Van Heusen,Men's Casual Button-Down Shirt,,Cream/Off-White,Windowpane plaid,Good,$11.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$13.75,$11.00,$8.80,Van Heusen Men's Wrinkle Free Plaid Short-Sleeve Button-Down Shirt Cream/Off-Whi,,,,Brand: Van Heusen Size: Not Confirmed Color: Cream/Off-White Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0019,19,A1,Nautica nautical signal-flags front-and-back graphic T-shirt,Nautica,Men's Graphic T-Shirt,XXL,Royal Blue,Solid with graphics,Good,$10.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$12.50,$10.00,$8.00,Nautica Men's Nautical Signal-Flags Graphic T-Shirt XXL Royal Blue,,,,Brand: Nautica Size: XXL Color: Royal Blue Condition: Pre-Owned Features: Men's Graphic T-Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0020,20,A1,Daniel Cremieux Signature Collection coral short-sleeve polo,Daniel Cremieux,Men's Golf Polo Shirt,L,Coral,Solid pique knit,Good,$15.00,Listed (Poshmark Live),eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$15.00,$15.00,$12.00,Daniel Cremieux Men's Signature Coral Short-Sleeve Polo L Coral,,,,Brand: Daniel Cremieux Size: L Color: Coral Condition: Pre-Owned Features: Men's Golf Polo Shirt Please review all photos for exact condition and measurements.
2026-06-23,A1-MD-0021,21,A1,American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt,American Eagle,Women's Flannel Shirt,S,Dark Green/Navy,Tartan plaid,Good,12,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$15.00,$12.00,$9.60,American Eagle Women's Soft Slim-Fit Green Plaid Flannel Shirt S Dark Green/Navy,,,,Brand: American Eagle Size: S Color: Dark Green/Navy Condition: Pre-Owned Features: Women's Flannel Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0022,22,A1,Paper Crane ribbed cropped cardigan and camisole twinset,Paper Crane,Women's Cardigan & Tank Set,M,Rust,Solid ribbed knit,Good,$18.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,50,45%,25–55,$22.99,$15.99,$13.00,Paper Crane Women's Ribbed Cropped Cardigan & Camisole Twinset M Rust,Needs Measurements,"final condition, material",2026-07-28,Brand: Paper Crane Size: M Color: Rust Condition: Pre-Owned Features: Women's Cardigan & Tank Set Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0023,23,A1,IZOD New England Oxford striped short-sleeve button-down shirt,IZOD,Men's Casual Button-Down Shirt,L,Light Blue/White,Vertical stripes,Good,$12.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$15.00,$12.00,$9.60,IZOD Men's New England Oxford Striped Short-Sleeve Shirt L Light Blue/White,,,,Brand: IZOD Size: L Color: Light Blue/White Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0024,24,A1,Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt,Tommy Hilfiger,Men's Casual Button-Down Shirt,L,Navy/Light Blue,Windowpane plaid,Good,$12.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,46,35%,35–70,$15.99,$10.99,$8.00,Tommy Hilfiger Men's Custom Fit Plaid Long-Sleeve Shirt L Navy/Light Blue,Needs Measurements,"final condition, material",2026-07-28,Brand: Tommy Hilfiger Size: L Color: Navy/Light Blue Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0025,25,A1,Under Armour ColdGear heather quarter-zip fleece pullover,Under Armour,Men's Quarter-Zip Pullover,XL,Heathered Blue-Gray,Heathered solid,Good,$20.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,11,60%,20–40,$25.99,$17.99,$14.00,Under Armour Men's ColdGear Heather Quarter-Zip Fleece Pullover XL Heathered Blu,Needs Measurements,"final condition, material",2026-07-28,Brand: Under Armour Size: XL Color: Heathered Blue-Gray Condition: Pre-Owned Features: Men's Quarter-Zip Pullover Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0026,26,A1,J.Crew red and blue gingham long-sleeve button-down shirt,J.Crew,Men's Casual Button-Down Shirt,L,Red/Blue,Gingham check,Good,14,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$17.50,$14.00,$11.20,J.Crew Men's Red & Blue Gingham Long-Sleeve Button-Down Shirt L Red/Blue,,,,Brand: J.Crew Size: L Color: Red/Blue Condition: Pre-Owned Features: Men's Casual Button-Down Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0027,27,A1,Under Armour white gray and orange mesh racerback athletic tank top,Under Armour,Women's Racerback Tank Top,,White/Light Gray/Orange,Heathered mesh stripe,Good,$10.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$12.50,$10.00,$8.00,Under Armour Women's Mesh Racerback Athletic Tank Top White/Light Gray/Orange,,,,Brand: Under Armour Size: Not Confirmed Color: White/Light Gray/Orange Condition: Pre-Owned Features: Women's Racerback Tank Top Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0028,28,A1,Ariat coral desert landscape agave graphic short-sleeve T-shirt,Ariat,Women's Graphic T-Shirt,M,Coral,Desert landscape graphic,Good,$13.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,19,55%,15–35,$16.99,$11.99,$9.00,Ariat Women's Desert Landscape Agave Graphic Short-Sleeve T-Shirt M Coral,Needs Measurements,"final condition, material",2026-07-28,Brand: Ariat Size: M Color: Coral Condition: Pre-Owned Features: Women's Graphic T-Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0029,29,A1,Under Armour HeatGear Alter Ego Superman loose-fit graphic T-shirt,Under Armour,Men's Graphic T-Shirt,M,Navy Blue/Red,Superman shield graphic,Good,20,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,20,65%,10–30,$25.99,$17.99,$14.00,Under Armour Men's HeatGear Alter Ego Superman Graphic T-Shirt M Navy Blue/Red,Needs Measurements,"final condition, material",2026-07-28,Brand: Under Armour Size: M Color: Navy Blue/Red Condition: Pre-Owned Features: Men's Graphic T-Shirt Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0030,30,A1,St. John's Bay purple embroidered crinkle cotton peasant blouse,St. John's Bay,Women's Peasant Blouse,L,Deep Purple,Floral embroidery,Good,9,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Tops,,,,,,,,,$11.25,$9.00,$7.20,St. John's Bay Women's Embroidered Crinkle Cotton Peasant Blouse L Deep Purple,,,,Brand: St. John's Bay Size: L Color: Deep Purple Condition: Pre-Owned Features: Women's Peasant Blouse Please review all photos for exact condition and measurements.
2026-06-24,A1-MD-0032,32,A1,Adidas AEROREADY charcoal gray 3-Stripes short-sleeve athletic shirt,Adidas,Men's Athletic T-Shirt,M,Charcoal Gray,Heathered solid with 3-Stripes,Good,$13.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,40,55%,15–35,$16.99,$11.99,$9.00,Adidas Men's AEROREADY Charcoal 3-Stripes Athletic Shirt M Charcoal Gray,Needs Measurements,"final condition, material",2026-07-28,Brand: Adidas Size: M Color: Charcoal Gray Condition: Pre-Owned Features: Men's Athletic T-Shirt Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0033,33,A2,Judy Blue light-wash distressed ripped skinny jeans with raw hem,Judy Blue,Distressed Skinny Jeans,9/29,Light blue,Distressed / ripped,Good,$23.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$28.75,$23.00,$18.40,,,,,Brand: Judy Blue Size: 46294 Color: Light blue Condition: Good Features: Distressed Skinny Jeans Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0034,34,A2,Royal blue solid short-sleeve polo shirt,,Men's Polo Shirt,,Royal Blue,Solid,Good,$8.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,,,,$10.00,$8.00,$6.40,Royal Blue Solid Short-Sleeve Polo Shirt Royal Blue,,,,Brand: Not Confirmed Size: Not Confirmed Color: Royal Blue Condition: Pre-Owned Features: Men's Polo Shirt Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0035,35,A2,Lands' End black elastic-waist straight-leg casual pants,Lands' End,Men's Casual Pants,42,Black,Solid,Good,$18.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Bottoms,,,,,,,,,$22.50,$18.00,$14.40,Lands' End Men's Black Elastic-Waist Straight-Leg Casual Pants 42 Black,,,,Brand: Lands' End Size: 42 Color: Black Condition: Pre-Owned Features: Men's Casual Pants Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0036,36,A2,St. John's Bay pale yellow interlock polo with navy stripe trim,St. John's Bay,Men's Polo Shirt,S,Pale Yellow,Solid with striped trim,Good,$8.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$10.00,$8.00,$6.40,St. John's Bay Men's Pale Yellow Interlock Polo Stripe Trim S Pale Yellow,,,,Brand: St. John's Bay Size: S Color: Pale Yellow Condition: Pre-Owned Features: Men's Polo Shirt Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0037,37,A2,Brooks Brothers 346 olive green cotton chino pants,Brooks Brothers,Men's Chino Pants,40x30,Olive Green,Solid,Good,$22.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Bottoms,,,,,,21,50%,20–45,$27.99,$18.99,$15.00,Brooks Brothers Men's Olive Green Cotton Chino Pants 40x30 Olive Green,Needs Measurements,"final condition, material",2026-07-28,Brand: Brooks Brothers Size: 40x30 Color: Olive Green Condition: Pre-Owned Features: Men's Chino Pants Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0038,38,A2,Columbia KM5080 black burgundy colorblock nylon windbreaker jacket,Columbia,Men's Windbreaker Jacket,M,Black/Burgundy,Colorblock,Good,$28.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,16,55%,20–45,$35.99,$24.99,$20.00,Columbia Men's KM5080 Colorblock Nylon Windbreaker Jacket M Black/Burgundy,Needs Measurements,"final condition, material",2026-07-28,Brand: Columbia Size: M Color: Black/Burgundy Condition: Pre-Owned Features: Men's Windbreaker Jacket Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0039,39,A2,SpaceX lavender-gray organic cotton full-zip hoodie,SpaceX,Men's Full-Zip Hoodie,L,Lavender-Gray,Solid,Good,$35.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Not Confirmed,,,,,,30,45%,30–60,$49.99,$31.99,$24.00,SpaceX Men's Lavender-Gray Organic Cotton Full-Zip Hoodie L Lavender-Gray,Needs Research,"final condition, material, photos, authenticity review",2026-07-28,Brand: SpaceX Size: L Color: Lavender-Gray Condition: Pre-Owned Features: Men's Full-Zip Hoodie Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0040,40,A2,American Eagle white stretch five-pocket jeans,American Eagle,Women's Jeans,31x27.5,White,Solid,Fair (AS IS),$16.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$20.00,$16.00,$12.80,American Eagle Women's White Stretch Five-Pocket Jeans 31x27.5 White,,,,Brand: American Eagle Size: 31x27.5 Color: White Condition: Fair Pre-Owned Features: Women's Jeans Please review all photos for exact condition and measurements.
2026-06-26,A2-MD-0042,42,A2,Mondetta Performance + Luxury black straight-leg stretch pants,Mondetta,Women's Active Pants,M,Black,Solid,Good,$16.00,Needs Photos,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,,,,$20.00,$16.00,$12.80,Mondetta Women's Performance Luxury Black Straight-Leg Pants M Black,,,,Brand: Mondetta Size: M Color: Black Condition: Pre-Owned Features: Women's Active Pants Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0043,43,A2,Nike Sphere charcoal gray textured mesh V-neck performance shirt,Nike,Men's Athletic T-Shirt,M,Charcoal Gray,Solid textured mesh,Good,$20.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,25,50%,20–45,$25.99,$17.99,$14.00,Nike Men's Charcoal Textured Mesh V-Neck Performance Shirt M Charcoal Gray,Needs Measurements,"final condition, material",2026-07-28,Brand: Nike Size: M Color: Charcoal Gray Condition: Pre-Owned Features: Men's Athletic T-Shirt Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0044,44,A2,Levi's faded black denim trucker jacket,Levi's,Men's Denim Trucker Jacket,M,Faded Black,Solid,Good,$29.95,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Other,,,,,,9,65%,15–35,$39.99,$29.99,$23.00,Levi's Men's Faded Black Denim Trucker Jacket Jean Jacket M Faded Black,Needs Photos,"size, final condition, material, photos",2026-07-28,Brand: Levi's Size: M Color: Faded Black Condition: Pre-Owned Features: Men's Denim Trucker Jacket Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0045,45,A2,Lauren Ralph Lauren navy double-breasted gold-button blazer,Lauren Ralph Lauren,Women's Blazer,20W,Navy Blue,Solid,Good,$30.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Other,,,,,,22,45%,25–55,$37.99,$25.99,$21.00,Lauren Ralph Lauren Women's Navy Double-Breasted Gold-Button Blazer 20W Navy Blu,Needs Photos,"final condition, material, photos",2026-07-28,Brand: Lauren Ralph Lauren Size: 20W Color: Navy Blue Condition: Pre-Owned Features: Women's Blazer Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0046,46,A2,Brooks Brothers orange cotton quarter-zip pullover with striped trim,Brooks Brothers,Quarter-Zip Pullover / Sweatshirt,S,Burnt orange / coral with navy and teal accents,Solid with striped trim,Good,$28.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,14,50%,20–45,$35.99,$24.99,$20.00,Brooks Brothers Quarter Zip Pullover Men's S Burnt Orange,Needs Measurements,"final condition, material",2026-07-28,Brand: Brooks Brothers Size: S Color: Burnt orange / coral with navy and teal accents Condition: Good Features: Quarter-Zip Pullover / Sweatshirt Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0047,47,A2,KUT from the Kloth Catherine Boyfriend dark green velveteen pants,KUT from the Kloth,Women's Boyfriend Pants,14,Dark Green,Solid,Good,$24.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Women's Bottoms,,,,,,24,45%,25–55,$30.99,$20.99,$17.00,KUT from the Kloth Women's Catherine Boyfriend Velveteen Pants 14 Dark Green,Needs Photos,"final condition, material, photos",2026-07-28,Brand: KUT from the Kloth Size: 14 Color: Dark Green Condition: Pre-Owned Features: Women's Boyfriend Pants Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0048,48,A2,Nautica white sailing windbreaker jacket with black stripe,Nautica,Men's Windbreaker Jacket / Lightweight Outerwear,XL,White / ivory with black accents,Colorblock / striped,Good,$34.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,18,45%,25–50,$42.99,$29.99,$24.00,Nautica Sailing Windbreaker Men's XL White Black,Needs Measurements,"final condition, material",2026-07-28,Brand: Nautica Size: XL Color: White / ivory with black accents Condition: Good Features: Men's Windbreaker Jacket / Lightweight Outerwear Please review all photos for exact condition and measurements.
2026-06-27,A2-MD-0049,49,A2,Columbia red plaid stretch long-sleeve shirt with tags,Columbia,Men's Long-Sleeve Button-Up Shirt,XXL,"Red, burgundy, tan, and navy",Plaid,New with tags,32,Needs Photos,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,,,,$40.00,$32.00,$25.60,,,,,"Brand: Columbia Size: XXL Color: Red, burgundy, tan, and navy Condition: New with tags Features: Men's Long-Sleeve Button-Up Shirt Please review all photos for exact condition and measurements."
2026-06-27,A2-MD-0050,50,A2,Fabletics men's black utility performance jogger pants,Fabletics,Men's Athletic Jogger / Utility Cargo Pants,L,Black with turquoise accents,Solid,Good,$23.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Bottoms,,,,,,7,60%,15–30,$28.99,$19.99,$16.00,Fabletics Utility Performance Jogger Pants Men's L Black,Needs Measurements,"final condition, material",2026-07-28,Brand: Fabletics Size: L Color: Black with turquoise accents Condition: Good Features: Men's Athletic Jogger / Utility Cargo Pants Please review all photos for exact condition and measurements.
2026-06-28,A4-MD-0051,0051,A4,Wrangler Western Shirts teal navy plaid long-sleeve button-up shirt,Wrangler,Men's Plaid Button-Up Shirt,M,Teal/Navy/White,Plaid,Good,13,Ready for Vendoo,eBay / Poshmark / Mercari / Depop,Men's Tops,Poshmark / eBay / Mercari,Men's Tops,,,,,,,$16.25,$13.00,$10.40,Wrangler Men's Plaid Button-Up Shirt M Teal/Navy/White,,,,Brand: Wrangler Size: M Color: Teal/Navy/White Condition: Pre-Owned Features: Men's Plaid Button-Up Shirt Please review all photos for exact condition and measurements.
2026-06-28,A4-MD-0052,0052,A4,Woolrich Rugged Outdoorwear burgundy cotton button-up shirt,Woolrich,Men's Cotton Button-Up Shirt,XL,Burgundy,Solid,Good,$24.00,Needs Physical Check,eBay / Poshmark / Mercari / Depop,Men's Tops,,,,,,31,40%,30–60,$30.99,$20.99,$17.00,Woolrich Men's Cotton Button-Up Shirt XL Burgundy,Needs Measurements,material,2026-07-28,Brand: Woolrich Size: XL Color: Burgundy Condition: Pre-Owned Features: Men's Cotton Button-Up Shirt Please review all photos for exact condition and measurements.
